"designator","quantity","item","manufacturer","model_number","lcsc","required_spec","assembly","selection_status","primary_source","notes"
"D30,D31,D32,D33,D34","5","cable-entry ESD diode","Texas Instruments","TPD1E10B06DPYR","C48260","5.5 V VRWM; +/-30 kV contact; bidirectional","SMT","selected","https://www.ti.com/lit/ds/symlink/tpd1e10b06.pdf","Flow plus four contact inputs"
"U11","1","Schmitt inverter","Texas Instruments","SN74HC14DR","C6820","2-6 V; six Schmitt inverters","SMT","selected","https://www.ti.com/lit/ds/symlink/sn74hc14.pdf","3.3 V safety/contact inputs"
"U5,U6","2","quad AND gate","Texas Instruments","SN74AHCT08DR","C7480","4.5-5.5 V; TTL-compatible inputs","SMT","selected","https://www.ti.com/lit/ds/symlink/sn74ahct08.pdf","Hardware master and per-output safety gates"
"U7,U8,U9","3","dual MOSFET driver","Microchip","TC4427AEOA","C18690","4.5-18 V; 1.5 A peak; non-inverting","SMT","selected","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/TC4426A-TC4427A-TC4428A-1.5A-Dual-High-Speed-Power-MOSFET-Drivers-20001423.pdf","Each has 100 nF + 2.2 uF local decoupling"
"D10,D11,D12,D13,D14","5","flyback Schottky diode","STMicroelectronics","STPS30SM60SG-TR","C2935135","60 V; 30 A average; D2PAK","SMT","selected","https://www.st.com/resource/en/datasheet/stps30sm60s.pdf","Cathode to +12 V; anode to MOSFET drain"
"J1,J10,J11,J12,J13,J14","6","high-current PCB header","Phoenix Contact","1720466","","2 position; 7.62 mm; 32 A","THT/wave","selected","https://www.phoenixcontact.com/en-us/products/pcb-header-pc-5-2-g-762-1720466","Mating plug 1718481"
"J2,J3,J4","3","4-pin field header","Phoenix Contact","1757268","","4 position; 5.08 mm; 12 A","THT/wave","selected; J4 DNP","https://www.phoenixcontact.com/us/products/1757268/pdf","Mating plug 1757035"
"J5","1","3-pin flow header","Phoenix Contact","1757255","","3 position; 5.08 mm; 12 A","THT/wave","selected","https://www.phoenixcontact.com/en-fr/products/pcb-header-mstba-25-3-g-508-1757255","Mating plug 1757022"
"J6,J7,J8,J9","4","2-pin contact header","Phoenix Contact","1757242","","2 position; 5.08 mm; 12 A","THT/wave","selected","https://www.phoenixcontact.com/en-us/products/pcb-header-mstba-25-2-g-508-1757242","Mating plug 1757019"
"F1,F10,F11,F12,F13,F14","6","PCB ATO fuse holder","Littelfuse","178.6165.0001","","22.5 A continuous; 30 A maximum; 32 V","THT/manual","selected","https://www.littelfuse.com/ja-jp/products/fuses-overcurrent-protection/fuse-holders-fuse-blocks-accessories/fuse-holders/in-line-fuse-holders/ato-flr/178-6165-0001","One main and five branch holders"
"F1 insert","1","20 A ATOF fuse","Littelfuse","0287020.H","","20 A; 32 V; 1000 A interrupt rating","post assembly","selected","https://www.littelfuse.com/assetdocs/littelfuse_datasheet_287_atof_r2.7.pdf?assetguid=43dcdce8-8ca2-426f-8998-7e566f048d40","Coordinate with external battery fuse and wire"
"F10..F14 inserts","5","10 A ATOF fuse","Littelfuse","0287010.H","","10 A; 32 V; 1000 A interrupt rating","post assembly","selected","https://www.littelfuse.com/ja-jp/products/fuses-overcurrent-protection/fuses/automotive-fuses/blade-fuses-shunt/atof/287/0287010-h","Use lower value when actual load permits"
